slection,N_raw,N_w,efficiency,efficiency_w
nEvGenFilter,792640,43.68650400545448,1.0,1.0
nEvTau3Mu,276311,15.22893319571449,0.34859583165119096,0.34859583165119096
nTriggerBit,229720,12.66106138995383,0.2898163100524828,0.2898163100524828
nEvTauMediumID,195274,10.762563563737785,0.24635900282599918,0.24635900282599918
nEvTriggerFired_Total,194519,10.720951595474617,0.24540648970528867,0.24540648970528867
nEvDiMuResVeto,188102,10.367277422832558,0.23731075898264029,0.23731075898264029
nEvReinforcedHLT,185547,10.226458113014814,0.23408735365361324,0.23408735365361324
LxyS,152284,8.393161556276027,0.1921225272507065,0.1921225272507065
mass_range,152006,8.37783953352482,0.19177180056519985,0.19177180056519985
phi_veto,134310,7.4025211356638465,0.16944640694388374,0.16944640694388374
BDT,47025,2.591791798113263,0.059327058942268876,0.059327058942268876
