selection,N_raw,N_w,efficiency,efficiency_w
nEvGenFilter,786411,8.449973720948947,1.0,1.0
nEvTau3Mu,300596,3.2298992519463354,0.38223778660267976,0.38223778660267976
nTriggerBit,252976,2.7182231072947616,0.32168420838467415,0.32168420838467415
nEvTauMediumID,217742,2.3396343361764593,0.27688066418196083,0.27688066418196083
nEvTriggerFired_Total,216900,2.330587059532263,0.2758099772256492,0.2758099772256492
nEvDiMuResVeto,209648,2.252664434563485,0.2665883361244947,0.2665883361244947
nEvReinforcedHLT,207775,2.2325390792730104,0.26420662986657106,0.26420662986657106
LxyS,171278,1.8403793931884138,0.21779705522939022,0.21779705522939022
mass_range,170479,1.8317941508621516,0.2167810470606337,0.2167810470606337
BDT,57073,0.6132484797080906,0.07257401028215527,0.07257401028215527
phi_veto,50281,0.5402685474427926,0.06393730504786937,0.06393730504786937
