slection,N_raw,N_w,efficiency,efficiency_w
nEvGenFilter,47680,6.89262596424669,1.0,1.0
nEvTau3Mu,17497,2.529368215109571,0.36696728187919464,0.36696728187919464
nTriggerBit,15304,2.21234789758455,0.3209731543624161,0.3209731543624161
nEvTauMediumID,13223,1.91151831219031,0.2773280201342282,0.2773280201342282
nEvTriggerFired_Total,13027,1.8831845309614437,0.27321728187919464,0.27321728187919464
nEvDiMuResVeto,12134,1.7540923542401288,0.25448825503355704,0.25448825503355704
nEvReinforcedHLT,12016,1.7370342614594847,0.25201342281879197,0.25201342281879197
LxyS,10235,1.4795727085584076,0.21466023489932887,0.21466023489932887
mass_range,10170,1.4701763015182223,0.2132969798657718,0.2132969798657718
phi_veto,9003,1.3014746551198186,0.18882130872483222,0.18882130872483222
BDT,4025,0.5818544359499356,0.08441694630872483,0.08441694630872483
