slection,N_raw,N_w,efficiency,efficiency_w
nEvGenFilter,9963904,17845.352233037353,1.0,1.0
nEvTau3Mu,992920,1778.31973684486,0.09965170278637771,0.09965170278637771
nTriggerBit,711824,1274.8767960760742,0.07144027080148505,0.07144027080148505
nEvTauMediumID,506756,907.6000045971014,0.05085918130082345,0.05085918130082345
nEvTriggerFired_Total,499671,894.9107694769045,0.050148114634584996,0.050148114634584996
nEvDiMuResVeto,482345,863.8799031829694,0.048409237985432216,0.048409237985432216
nEvReinforcedHLT,476018,852.548246075632,0.04777424591806585,0.04777424591806585
LxyS,78045,139.77859632403124,0.007832773178063537,0.007832773178063537
mass_range,23651,42.35894140123855,0.002373667991983865,0.002373667991983865
phi_veto,21059,37.716669357265346,0.0021135289942576727,0.0021135289942576727
BDT,5073,9.085743086063303,0.0005091377837442031,0.0005091377837442031
