slection,N_raw,N_w,efficiency,efficiency_w
nEvGenFilter,197789,28.59239926263399,1.0,1.0
nEvTau3Mu,69530,10.051264330832055,0.35153623305643894,0.35153623305643894
nTriggerBit,57700,8.341118249518331,0.29172502009717427,0.29172502009717427
nEvTauMediumID,49149,7.104984763354878,0.24849207994377848,0.24849207994377848
nEvTriggerFired_Total,48955,7.076940102342633,0.2475112367219613,0.2475112367219613
nEvDiMuResVeto,47320,6.840584325254895,0.23924485183705868,0.23924485183705868
nEvReinforcedHLT,46711,6.752547219293774,0.23616581306341605,0.23616581306341605
LxyS,38349,5.5437355936010135,0.19388843666735764,0.19388843666735764
mass_range,38275,5.533038145586033,0.19351430059305624,0.19351430059305624
phi_veto,33739,4.87731349428941,0.1705807704169595,0.1705807704169595
BDT,11618,1.6794993383518886,0.058739363665320114,0.058739363665320114
