selection,N_raw,N_w,efficiency,efficiency_w
nEvGenFilter,195001,5.530427391269768,1.0,1.0
nEvTau3Mu,74571,2.1149096722292597,0.382413423520905,0.382413423520905
nTriggerBit,62760,1.779937657120172,0.3218445033615212,0.3218445033615212
nEvTauMediumID,54048,1.532856445061043,0.27716780939584923,0.27716780939584923
nEvTriggerFired_Total,53861,1.5275529341961374,0.2762088399546669,0.2762088399546669
nEvDiMuResVeto,52134,1.478573451502598,0.26735247511551224,0.26735247511551224
nEvReinforcedHLT,51656,1.4650168836233206,0.2649012056348429,0.2649012056348429
LxyS,42548,1.2067047073796857,0.21819375285254947,0.21819375285254947
mass_range,42356,1.2012593914114404,0.21720914251721787,0.21720914251721787
BDT,14158,0.4015353306167526,0.07260475587304681,0.07260475587304681
phi_veto,12404,0.35179010036517866,0.06360993020548612,0.06360993020548612
