slection,N_raw,N_w,efficiency,efficiency_w
nEvGenFilter,330000,21.710033106501214,1.0,1.0
nEvTau3Mu,116449,7.660944379451394,0.35287575757575756,0.35287575757575756
nTriggerBit,95156,6.26012094024918,0.28835151515151514,0.28835151515151514
nEvTauMediumID,78645,5.173895617153903,0.23831818181818182,0.23831818181818182
nEvTriggerFired_Total,78352,5.154619739274494,0.23743030303030302,0.23743030303030302
nEvDiMuResVeto,75517,4.968110818495916,0.22883939393939393,0.22883939393939393
nEvReinforcedHLT,74481,4.899954472137324,0.2257,0.2257
LxyS,58653,3.858662338774593,0.17773636363636364,0.17773636363636364
mass_range,58440,3.844649499224033,0.1770909090909091,0.1770909090909091
phi_veto,51667,3.3990675167078734,0.15656666666666666,0.15656666666666666
BDT,24087,1.5846350528372568,0.07299090909090909,0.07299090909090909
