slection,N_raw,N_w,efficiency,efficiency_w
nEvGenFilter,317554,3.92638790674755,1.0,1.0
nEvTau3Mu,122749,1.5177267147173552,0.38654528048772807,0.38654528048772807
nTriggerBit,102029,1.261534831044628,0.3212965353924057,0.3212965353924057
nEvTauMediumID,85279,1.0544299057783064,0.2685496010127411,0.2685496010127411
nEvTriggerFired_Total,85036,1.051425338802801,0.26778437683039735,0.26778437683039735
nEvDiMuResVeto,81956,1.0133427615000983,0.25808523904595754,0.25808523904595754
nEvReinforcedHLT,81266,1.0048112750264409,0.2559123802565863,0.2559123802565863
LxyS,64525,0.7978176300184714,0.20319378751330483,0.20319378751330483
mass_range,64134,0.7929831210167322,0.20196250086599443,0.20196250086599443
phi_veto,56615,0.7000146474001667,0.1782846382032662,0.1782846382032662
BDT,20325,0.25130791677838715,0.06400486216517506,0.06400486216517506
