selection,N_raw,N_w,efficiency,efficiency_w
nEvGenFilter,9924000,23619.119619950652,1.0,1.0
nEvTau3Mu,1048415,2495.2276598499157,0.105644397420395,0.105644397420395
nTriggerBit,750851,1787.025351245422,0.07566011688835148,0.07566011688835148
nEvTauMediumID,503041,1197.2375607355498,0.050689338976219266,0.050689338976219266
nEvTriggerFired_Total,497258,1183.4740209570155,0.05010661023780734,0.05010661023780734
nEvDiMuResVeto,478211,1138.142161686439,0.04818732365981459,0.04818732365981459
nEvReinforcedHLT,471681,1122.6007619365118,0.04752932285368803,0.04752932285368803
LxyS,50682,120.62315805908293,0.005107013301088271,0.005107013301088271
mass_range,14545,34.61709944298491,0.0014656388553002822,0.0014656388553002822
BDT,3865,9.19869985198602,0.00038945989520354696,0.00038945989520354696
phi_veto,3487,8.299059866461903,0.0003513704151551794,0.0003513704151551794
