selection,N_raw,N_w,efficiency,efficiency_w
nEvGenFilter,677882,7.317524090183724,1.0,1.0
nEvTau3Mu,262246,2.830863516886893,0.38686084008721283,0.38686084008721283
nTriggerBit,218595,2.3596646296755353,0.3224676271091429,0.3224676271091429
nEvTauMediumID,183943,1.9856071318026807,0.2713495859161329,0.2713495859161329
nEvTriggerFired_Total,183396,1.979702437951346,0.27054266081707434,0.27054266081707434
nEvDiMuResVeto,176805,1.9085546551832522,0.26081972968746775,0.26081972968746775
nEvReinforcedHLT,175239,1.8916501751627948,0.2585095931150259,0.2585095931150259
LxyS,138857,1.4989178685827937,0.20483948533815619,0.20483948533815619
mass_range,138114,1.4908974160571233,0.20374342437179332,0.20374342437179332
BDT,49539,0.5347580049383396,0.07307909046117171,0.07307909046117171
phi_veto,42931,0.46342671248930856,0.06333108122062542,0.06333108122062542
